filename,paper,date,page,uuid,label,x,y,width,height,area,uuid_incomplete,ANNO_link
tpt_18870701_006.jpg,tpt,1887-07-01,6,81fa835c-4a99-4de3-adc6-849b3c1ceb83,indicator,1907.04403252,1400.5046043263,755.9073053304,200.6340865748,151660.77174018326,False,https://anno.onb.ac.at/cgi-content/anno?aid=tpt&datum=18870701&seite=6
tpt_18870701_006.jpg,tpt,1887-07-01,6,c4c09f7c-ecc9-4de2-8c30-9dae00211cd2,job_search,2284.9976851852,3316.1033061477,527.0046296296,161.814319366,85276.89544624464,False,https://anno.onb.ac.at/cgi-content/anno?aid=tpt&datum=18870701&seite=6
tpt_18870701_006.jpg,tpt,1887-07-01,6,3072a638-4607-474b-a81e-21115b68266d,job_offer,2284.9976851852,3033.1153088077,530.9375,275.3801188282,146209.63184034746,False,https://anno.onb.ac.at/cgi-content/anno?aid=tpt&datum=18870701&seite=6
tpt_18870701_006.jpg,tpt,1887-07-01,6,11f0edcc-7db8-4e96-9480-59d49f2b50d1,job_search,2284.9976851852,2844.2832273255,530.9375,192.7660831797,102346.74228822197,False,https://anno.onb.ac.at/cgi-content/anno?aid=tpt&datum=18870701&seite=6
tpt_18870701_006.jpg,tpt,1887-07-01,6,d2d3c69b-6020-4f39-826d-ba6e5ba04174,job_search,1553.4837962963,558.6282410515,39.3287037037,11.8020050926,464.1575613964239,False,https://anno.onb.ac.at/cgi-content/anno?aid=tpt&datum=18870701&seite=6
tpt_18870701_006.jpg,tpt,1887-07-01,6,1f57adbf-ba79-4005-9e3e-18293fe55bc7,vermittlung,137.650462963,2694.7911628188,1069.7407407407,346.192149384,370335.8463206552,False,https://anno.onb.ac.at/cgi-content/anno?aid=tpt&datum=18870701&seite=6
tpt_18870701_006.jpg,tpt,1887-07-01,6,85f82f61-8be7-4b66-90a5-99424b0e6096,vermittlung,2281.0648148148,2014.2088691434,530.9375,830.0743581821,440717.6045473087,False,https://anno.onb.ac.at/cgi-content/anno?aid=tpt&datum=18870701&seite=6
tpt_18870701_006.jpg,tpt,1887-07-01,6,dd5cfa09-0fac-4104-bd1c-c81f0881a896,job_search,2819.8680555556,1605.0726925986,542.7361111111,239.9741035503,130242.61172826221,False,https://anno.onb.ac.at/cgi-content/anno?aid=tpt&datum=18870701&seite=6
tpt_18870701_006.jpg,tpt,1887-07-01,6,44f536a8-76bd-40c4-9bc3-ff3bf4adaa68,job_search,2824.0412093269,2038.9776646213,530.9375,192.7660831797,102346.74228822197,False,https://anno.onb.ac.at/cgi-content/anno?aid=tpt&datum=18870701&seite=6
tpt_18870701_006.jpg,tpt,1887-07-01,6,a6fa1c27-a040-47a5-8c91-bdae1f683cca,job_search,2824.0412093269,2243.5457528937,523.0717592593,157.3600679018,82310.60755455744,False,https://anno.onb.ac.at/cgi-content/anno?aid=tpt&datum=18870701&seite=6
